;TRUE;Estimate;S.E.;t(b);LL
b_t;-2,0;-1,96494190502418;0,135216531973194;-0,259273732761983;0
b_c;-0,5;-0,485700356372956;0,0243247377473321;-0,587864246495828;0
alpha;0,6;0,599121701567872;0,02778651907842;0,0316087966847966;0
ASC_A;-0,5;-0,459865580588815;0,15627393877798;-0,256820937163454;0
ASC_B;-0,5;-0,483663772189378;0,14956258429872;-0,109226701900215;0
ASC_D;-1,0;-0,777893594963067;0,169548855840125;-1,30998468810882;0
Wc;0,3;0,323549904642609;0,01776274270528;-1,32580339834618;0
delta;0,05;0,0494430896035917;0,000741418550052801;0,751141708510853;0
mu1;0,1;0,180165908442684;0,138413356863237;-0,579177546585291;0
mu2;0,1;0,176802503480536;0,133436924606355;-0,575571594647485;20561,5924177694
