"ID","TRAIN_COST_SCALED","TRAIN_TT_SCALED","SM_COST_SCALED","SM_TT_SCALED","CAR_CO_SCALED","CAR_TT_SCALED","CHOICE"
1,0.48,1.12,0.52,0.63,0.65,1.17,2
1,0.48,1.03,0.49,0.6,0.84,1.17,2
1,0.48,1.3,0.58,0.67,0.52,1.17,2
1,0.4,1.03,0.52,0.63,0.52,0.72,2
1,0.36,1.3,0.42,0.63,0.84,0.9,2
1,0.36,1.12,0.49,0.6,0.52,0.9,2
1,0.48,1.03,0.58,0.67,0.65,0.72,2
1,0.36,1.03,0.43,0.67,0.65,0.9,1
1,0.4,1.3,0.46,0.6,0.65,0.72,2
3,0.32,0.58,0.35,0.29,0.4,1.05,2
3,0.29,0.58,0.38,0.25,0.5,1.36,2
3,0.32,0.58,0.4,0.27,0.65,1.36,2
3,0.29,0.47,0.38,0.25,0.65,0.84,2
3,0.32,0.51,0.36,0.25,0.4,1.36,2
3,0.38,0.51,0.42,0.25,0.4,0.84,2
3,0.29,0.51,0.32,0.27,0.5,0.84,2
3,0.32,0.51,0.4,0.27,0.5,1.05,2
3,0.38,0.58,0.42,0.27,0.65,0.84,2
4,0.4,1.38,0.45,0.65,0.8,1.35,2
4,0.4,1.38,0.52,0.61,1.3,1.75,2
4,0.36,1.38,0.49,0.58,1,1.75,2
4,0.36,1.05,0.49,0.58,1.3,1.08,2
4,0.4,1.16,0.46,0.58,0.8,1.75,2
4,0.36,1.16,0.42,0.61,1,1.08,2
4,0.48,1.16,0.5,0.58,0.8,1.08,2
4,0.48,1.38,0.52,0.61,1.3,1.08,2
4,0.4,1.16,0.52,0.61,1,1.35,2
6,0.35,1.16,0.38,0.46,0.35,0.7,2
6,0.26,0.95,0.29,0.49,0.28,0.91,2
6,0.26,1.16,0.32,0.53,0.28,0.56,2
6,0.26,1.02,0.32,0.53,0.45,0.91,2
6,0.29,1.02,0.32,0.53,0.45,0.56,2
6,0.29,0.95,0.32,0.53,0.35,0.91,2
6,0.35,0.95,0.4,0.49,0.28,0.7,2
6,0.29,0.95,0.35,0.46,0.45,0.7,2
6,0.35,1.02,0.46,0.53,0.45,0.7,2
7,0.42,0.87,0.49,0.32,1.4,1.17,2
7,0.42,0.8,0.46,0.29,1.82,1.17,2
7,0.42,1.01,0.56,0.36,1.12,1.17,2
7,0.35,0.8,0.49,0.32,1.12,0.72,2
7,0.31,1.01,0.38,0.32,1.82,0.9,2
7,0.31,0.87,0.46,0.29,1.12,0.9,2
7,0.42,0.8,0.56,0.36,1.4,0.72,1
7,0.31,0.8,0.4,0.36,1.4,0.9,2
7,0.35,1.01,0.43,0.29,1.4,0.72,2
8,0.26,1.09,0.34,0.56,0.3,1.3,2
8,0.26,1,0.32,0.53,0.39,1.3,2
8,0.26,1.26,0.4,0.6,0.24,1.3,2
8,0.22,1,0.35,0.56,0.24,0.8,3
